Name,Category,Request Priority,Request Type,Location,User Group,Start Date,End Date,Total Number of Requests,Total Similar Requests
Window Glass,Windows,Low,Replacement,Block 42,Teacher,2022-10-17,2022-10-29,54,40
Socket,Electrical,High,Replacement,Block 40,Admin Staff,2020-08-26,2020-08-30,93,76
Window Lock,Windows,High,Repair,Block 48,Teacher,2020-06-12,2020-06-16,39,34
Door Handle,Doors,Low,Replacement,Block 39,Student,2022-03-21,2022-04-03,24,20
Door Handle,Doors,Low,Repair,Block 46,Teacher,2021-01-31,2021-02-07,17,12
Door Cylinder,Doors,Medium,Replacement,Block 44,Student,2021-06-15,2021-06-27,29,27
Window Lock,Windows,Medium,Replacement,Block 34,Teacher,2023-08-12,2023-08-21,37,22
Valve,Plumbing,High,Repair,Block 48,Other Servers,2019-09-02,2019-09-11,25,22
Florescent Light bulb,Lighting,High,Repair,Block 37,Admin Staff,2021-01-15,2021-01-16,64,47
Fuse,Electrical,Low,Replacement,Block 5,Student,2022-01-09,2022-01-22,93,68
Mouse,Computers,Medium,Repair,Block 9,Admin Staff,2021-12-18,2021-12-20,66,49
Florescent Light bulb,Lighting,High,Replacement,Block 33,Teacher,2023-03-03,2023-03-06,69,38
Valve,Plumbing,High,Repair,Block 49,Other Servers,2023-12-25,2024-01-04,26,24
Door Handle,Doors,Medium,Repair,Block 1,Teacher,2023-02-28,2023-03-05,23,16
Bed Frame,Furniture,Low,Replacement,Block 42,Admin Staff,2023-01-15,2023-01-25,72,46
Shower Head,Plumbing,Medium,Repair,Block 4,Other Servers,2022-08-13,2022-08-21,24,14
Valve,Plumbing,Medium,Repair,Block 35,Other Servers,2023-12-18,2023-12-29,37,23
Florescent Light bulb,Lighting,Low,Repair,Block 30,Teacher,2021-03-05,2021-03-10,73,38
Bed Mattress,Furniture,Low,Replacement,Block 19,Teacher,2023-02-12,2023-02-28,67,52
Hard drive,Computers,High,Replacement,Block 15,Admin Staff,2023-08-14,2023-08-21,69,64
Bed Mattress,Furniture,High,Repair,Block 32,Teacher,2023-02-09,2023-02-20,72,57
Shower Head,Plumbing,High,Replacement,Block 8,Other Servers,2022-03-26,2022-04-06,41,28
Door Handle,Doors,Medium,Replacement,Block 41,Teacher,2021-10-28,2021-11-04,13,13
Shower Head,Plumbing,High,Replacement,Block 8,Other Servers,2021-02-01,2021-02-10,41,25
Door Cylinder,Doors,Low,Replacement,Block 45,Admin Staff,2019-09-08,2019-09-18,14,8
Window Glass,Windows,Low,Repair,Block 14,Teacher,2020-01-08,2020-01-19,51,32
Shower Head,Plumbing,Medium,Replacement,Block 17,Other Servers,2023-12-21,2024-01-02,35,30
Door Cylinder,Doors,Medium,Repair,Block 36,Admin Staff,2022-10-12,2022-10-18,25,22
Florescent Light bulb,Lighting,Medium,Repair,Block 11,Student,2019-09-05,2019-09-11,56,45
Socket,Electrical,Medium,Replacement,Block 5,Student,2022-05-04,2022-05-14,92,76
Locker Handle,Furniture,High,Repair,Block 30,Student,2021-12-09,2021-12-17,60,46
Keyboard,Computers,High,Repair,Block 40,Admin Staff,2019-07-13,2019-07-15,66,44
Pipe,Plumbing,High,Replacement,Block 47,Other Servers,2020-12-18,2020-12-28,37,37
Window Lock,Windows,Medium,Replacement,Block 32,Admin Staff,2021-09-13,2021-09-21,43,33
Florescent Light bulb,Lighting,Low,Replacement,Block 29,Admin Staff,2020-02-19,2020-02-26,56,43
Florescent Light bulb,Lighting,Medium,Replacement,Block 5,Teacher,2020-03-23,2020-03-29,71,45
Locker Handle,Furniture,Medium,Repair,Block 39,Teacher,2023-10-26,2023-11-01,69,62
Bed Frame,Furniture,High,Repair,Block 16,Student,2022-05-17,2022-05-26,60,31
Monitor,Computers,Medium,Replacement,Block 6,Teacher,2023-06-29,2023-07-08,56,50
Window Glass,Windows,Medium,Repair,Block 38,Teacher,2019-11-22,2019-11-29,47,31
Door Cylinder,Doors,High,Replacement,Block 45,Teacher,2022-05-24,2022-05-31,13,13
Valve,Plumbing,High,Replacement,Block 5,Other Servers,2019-04-29,2019-05-12,31,17
Window Glass,Windows,Medium,Repair,Block 4,Teacher,2021-03-15,2021-03-22,42,30
Socket,Electrical,Medium,Replacement,Block 29,Admin Staff,2019-09-15,2019-09-23,89,52
Hard drive,Computers,Low,Repair,Block 29,Teacher,2019-04-04,2019-04-13,65,64
Florescent Light bulb,Lighting,Medium,Repair,Block 48,Admin Staff,2021-08-27,2021-08-29,57,47
Fuse,Electrical,Medium,Replacement,Block 1,Teacher,2021-12-18,2021-12-25,98,51
Florescent Light bulb,Lighting,Low,Repair,Block 8,Student,2020-07-19,2020-07-28,57,52
Socket,Electrical,Low,Replacement,Block 23,Student,2021-05-28,2021-06-09,98,97
Door Cylinder,Doors,Medium,Repair,Block 28,Teacher,2023-06-14,2023-06-20,17,15
Door Handle,Doors,Medium,Repair,Block 33,Admin Staff,2023-10-15,2023-10-20,16,15
Fuse,Electrical,Low,Repair,Block 4,Teacher,2020-07-22,2020-07-26,83,66
Keyboard,Computers,Medium,Replacement,Block 35,Admin Staff,2021-09-23,2021-09-28,69,55
Pipe,Plumbing,Low,Repair,Block 24,Other Servers,2021-12-24,2022-01-07,27,18
Florescent Light bulb,Lighting,High,Repair,Block 45,Student,2020-01-26,2020-01-30,64,39
Bed Chipwood,Furniture,High,Repair,Block 14,Student,2022-08-29,2022-09-09,66,51
Chair,Furniture,Low,Replacement,Block 21,Student,2022-05-25,2022-06-05,72,57
Florescent Light bulb,Lighting,Low,Repair,Block 48,Teacher,2019-03-31,2019-04-06,71,63
Florescent Light bulb,Lighting,High,Replacement,Block 41,Admin Staff,2022-06-07,2022-06-10,55,40
Florescent Light bulb,Lighting,Medium,Replacement,Block 29,Teacher,2022-07-16,2022-07-21,72,48
Florescent Light bulb,Lighting,Medium,Replacement,Block 47,Student,2023-04-04,2023-04-11,60,59
Fuse,Electrical,Medium,Repair,Block 50,Admin Staff,2021-05-01,2021-05-04,85,48
Socket,Electrical,Low,Replacement,Block 30,Student,2019-07-28,2019-08-10,82,66
Door Handle,Doors,High,Replacement,Block 25,Student,2020-09-25,2020-10-07,28,17
Fuse,Electrical,Low,Replacement,Block 8,Admin Staff,2022-02-02,2022-02-09,88,72
Window Lock,Windows,Low,Repair,Block 12,Student,2022-01-06,2022-01-14,50,47
Door Cylinder,Doors,High,Repair,Block 24,Student,2021-06-02,2021-06-09,12,11
Window Lock,Windows,High,Replacement,Block 29,Teacher,2022-07-13,2022-07-18,51,32
Fuse,Electrical,Medium,Repair,Block 9,Teacher,2019-05-30,2019-06-02,92,68
Florescent Light bulb,Lighting,High,Repair,Block 14,Teacher,2019-09-20,2019-09-21,61,45
Mouse,Computers,Medium,Repair,Block 40,Admin Staff,2023-11-23,2023-11-25,63,52
Window Glass,Windows,Low,Replacement,Block 39,Teacher,2022-11-26,2022-12-07,50,38
Florescent Light bulb,Lighting,Medium,Repair,Block 37,Teacher,2022-10-03,2022-10-05,69,40
Shower Head,Plumbing,Medium,Repair,Block 43,Other Servers,2019-10-11,2019-10-19,35,23
Window Glass,Windows,Medium,Replacement,Block 12,Student,2019-04-08,2019-04-20,53,44
Bed Mattress,Furniture,High,Repair,Block 6,Student,2021-01-30,2021-02-14,73,48
Bed Mattress,Furniture,Medium,Replacement,Block 9,Student,2023-04-08,2023-04-27,57,34
Bed Frame,Furniture,Low,Repair,Block 49,Teacher,2019-01-29,2019-02-09,60,50
CPU,Computers,Medium,Repair,Block 25,Admin Staff,2020-12-18,2020-12-25,55,29
Window Glass,Windows,High,Replacement,Block 31,Teacher,2019-05-05,2019-05-12,49,39
Monitor,Computers,Medium,Repair,Block 10,Teacher,2019-06-01,2019-06-06,56,31
Valve,Plumbing,High,Replacement,Block 2,Other Servers,2022-09-15,2022-09-27,31,28
Fuse,Electrical,High,Repair,Block 17,Admin Staff,2021-06-08,2021-06-10,91,83
Socket,Electrical,Medium,Replacement,Block 25,Admin Staff,2019-08-27,2019-09-03,92,87
Fuse,Electrical,Low,Repair,Block 43,Student,2020-08-28,2020-09-05,81,67
Valve,Plumbing,High,Replacement,Block 9,Other Servers,2020-07-22,2020-08-03,31,18
Door Cylinder,Doors,Low,Replacement,Block 50,Student,2021-06-22,2021-07-04,20,11
CPU,Computers,High,Replacement,Block 17,Teacher,2019-09-23,2019-10-01,71,67
RAM,Computers,Low,Repair,Block 20,Admin Staff,2020-07-12,2020-07-19,59,39
Window Glass,Windows,Low,Repair,Block 46,Teacher,2019-10-30,2019-11-07,42,28
Pipe,Plumbing,Low,Replacement,Block 9,Other Servers,2021-08-14,2021-08-29,42,38
Door Handle,Doors,Low,Repair,Block 41,Student,2020-10-13,2020-10-23,11,7
Florescent Light bulb,Lighting,Low,Repair,Block 4,Admin Staff,2020-12-19,2020-12-24,68,38
Mouse,Computers,Low,Repair,Block 15,Teacher,2020-08-20,2020-08-25,57,33
Keyboard,Computers,High,Repair,Block 37,Admin Staff,2019-10-30,2019-11-01,54,29
Toilet seat,Plumbing,Medium,Repair,Block 32,Other Servers,2023-03-15,2023-03-24,39,37
Locker Handle,Furniture,High,Repair,Block 41,Student,2023-11-09,2023-11-16,68,52
Bed Frame,Furniture,Low,Repair,Block 33,Admin Staff,2019-11-15,2019-11-26,57,42
Fuse,Electrical,Medium,Replacement,Block 8,Student,2021-08-17,2021-08-28,90,81
Shower Head,Plumbing,High,Repair,Block 22,Other Servers,2022-01-16,2022-01-23,25,23
RAM,Computers,Medium,Repair,Block 29,Admin Staff,2019-10-15,2019-10-19,59,49
Florescent Light bulb,Lighting,High,Replacement,Block 47,Teacher,2019-10-14,2019-10-16,64,53
Monitor,Computers,High,Repair,Block 2,Admin Staff,2022-07-06,2022-07-09,64,49
Florescent Light bulb,Lighting,Low,Replacement,Block 31,Admin Staff,2021-08-21,2021-08-28,57,32
Window Lock,Windows,Medium,Repair,Block 19,Admin Staff,2021-08-24,2021-08-29,39,23
Window Lock,Windows,Medium,Repair,Block 5,Teacher,2022-09-22,2022-09-27,43,25
Window Lock,Windows,Low,Repair,Block 35,Student,2019-11-18,2019-11-30,49,48
Window Glass,Windows,Medium,Replacement,Block 35,Teacher,2019-04-23,2019-05-03,55,29
Door Handle,Doors,High,Repair,Block 13,Student,2021-05-26,2021-06-02,19,15
Monitor,Computers,High,Repair,Block 44,Teacher,2020-12-01,2020-12-04,59,45
Fuse,Electrical,Medium,Replacement,Block 2,Teacher,2023-03-22,2023-03-27,86,50
Pipe,Plumbing,High,Repair,Block 24,Other Servers,2023-05-05,2023-05-14,32,24
Locker Cylinder,Furniture,Medium,Repair,Block 23,Student,2020-02-11,2020-02-22,55,51
Window Glass,Windows,High,Replacement,Block 28,Admin Staff,2022-10-11,2022-10-20,50,48
Florescent Light bulb,Lighting,Medium,Replacement,Block 15,Teacher,2023-06-16,2023-06-22,56,51
Pipe,Plumbing,High,Repair,Block 38,Other Servers,2022-06-18,2022-06-26,27,19
Window Glass,Windows,Medium,Repair,Block 15,Student,2020-06-20,2020-06-29,42,22
Toilet seat,Plumbing,Low,Replacement,Block 26,Other Servers,2019-05-17,2019-05-30,27,16
Pipe,Plumbing,Medium,Repair,Block 44,Other Servers,2023-01-15,2023-01-25,33,27
Socket,Electrical,High,Repair,Block 40,Student,2022-09-13,2022-09-19,94,49
Door Cylinder,Doors,Low,Replacement,Block 7,Student,2020-02-04,2020-02-21,26,25
Window Glass,Windows,Low,Replacement,Block 36,Admin Staff,2021-09-30,2021-10-14,43,25
Window Glass,Windows,Medium,Replacement,Block 22,Teacher,2022-09-26,2022-10-05,44,44
Fuse,Electrical,Medium,Repair,Block 10,Admin Staff,2021-07-03,2021-07-06,84,62
Fuse,Electrical,Low,Replacement,Block 31,Student,2022-09-07,2022-09-19,87,60
Locker Cylinder,Furniture,Low,Replacement,Block 24,Teacher,2021-06-25,2021-07-09,63,40
Socket,Electrical,High,Replacement,Block 29,Student,2022-04-02,2022-04-10,99,87
Fuse,Electrical,Low,Replacement,Block 11,Teacher,2023-06-19,2023-06-28,82,45
Florescent Light bulb,Lighting,Medium,Replacement,Block 42,Teacher,2019-08-01,2019-08-05,56,52
Door Handle,Doors,Medium,Repair,Block 3,Student,2023-09-16,2023-09-25,18,12
Valve,Plumbing,Low,Replacement,Block 4,Other Servers,2022-05-13,2022-05-30,41,30
Pipe,Plumbing,High,Repair,Block 41,Other Servers,2020-08-07,2020-08-16,34,34
Shower Head,Plumbing,Medium,Replacement,Block 30,Other Servers,2021-11-10,2021-11-20,27,17
Florescent Light bulb,Lighting,Medium,Repair,Block 47,Admin Staff,2019-05-14,2019-05-16,63,57
Window Lock,Windows,High,Replacement,Block 18,Student,2021-06-05,2021-06-14,41,28
Socket,Electrical,Medium,Repair,Block 40,Student,2019-08-20,2019-08-27,99,87
Battery,Computers,Medium,Repair,Block 19,Admin Staff,2023-03-17,2023-03-21,63,38
RAM,Computers,High,Repair,Block 4,Teacher,2019-04-24,2019-04-27,57,55
Florescent Light bulb,Lighting,Low,Replacement,Block 16,Admin Staff,2022-07-17,2022-07-26,61,45
Socket,Electrical,Low,Repair,Block 25,Teacher,2021-01-17,2021-01-23,83,70
Toilet seat,Plumbing,Low,Replacement,Block 42,Other Servers,2023-01-24,2023-02-07,39,29
Door Handle,Doors,Medium,Repair,Block 14,Teacher,2019-09-05,2019-09-10,23,17
Window Glass,Windows,Low,Repair,Block 35,Admin Staff,2019-12-04,2019-12-13,43,34
Toilet seat,Plumbing,Low,Repair,Block 16,Other Servers,2022-04-08,2022-04-21,30,20
Fuse,Electrical,Low,Replacement,Block 49,Teacher,2021-09-25,2021-10-05,99,79
Florescent Light bulb,Lighting,Low,Replacement,Block 14,Student,2022-01-07,2022-01-18,61,32
Florescent Light bulb,Lighting,High,Replacement,Block 14,Student,2021-08-19,2021-08-25,62,47
Door Handle,Doors,Low,Replacement,Block 14,Student,2022-02-24,2022-03-09,15,11
Locker Handle,Furniture,High,Repair,Block 1,Admin Staff,2019-10-09,2019-10-14,64,35
Window Glass,Windows,Low,Replacement,Block 19,Teacher,2020-01-09,2020-01-20,55,44
Door Cylinder,Doors,Medium,Replacement,Block 43,Student,2023-05-07,2023-05-19,10,9
Socket,Electrical,Medium,Replacement,Block 44,Admin Staff,2021-05-15,2021-05-23,99,93
Window Lock,Windows,Low,Repair,Block 45,Admin Staff,2022-09-13,2022-09-21,48,42
Florescent Light bulb,Lighting,Low,Replacement,Block 48,Teacher,2020-11-20,2020-11-29,68,40
Door Cylinder,Doors,Medium,Replacement,Block 35,Student,2022-11-29,2022-12-13,20,12
Florescent Light bulb,Lighting,Medium,Repair,Block 35,Student,2020-09-07,2020-09-12,66,34
Door Cylinder,Doors,High,Repair,Block 21,Student,2022-03-17,2022-03-24,27,27
Florescent Light bulb,Lighting,Low,Repair,Block 6,Admin Staff,2023-09-12,2023-09-16,74,70
Toilet seat,Plumbing,Medium,Replacement,Block 13,Other Servers,2023-01-30,2023-02-12,32,26
Window Glass,Windows,Low,Replacement,Block 47,Student,2021-10-18,2021-11-01,53,45
Door Handle,Doors,Low,Repair,Block 32,Teacher,2023-01-11,2023-01-20,23,19
Window Glass,Windows,High,Repair,Block 31,Student,2022-07-10,2022-07-17,49,41
Toilet seat,Plumbing,High,Replacement,Block 29,Other Servers,2019-07-14,2019-07-25,33,32
Valve,Plumbing,High,Repair,Block 44,Other Servers,2019-03-20,2019-03-29,27,17
Window Glass,Windows,Medium,Replacement,Block 9,Teacher,2023-10-22,2023-11-02,55,46
Monitor,Computers,Low,Repair,Block 14,Admin Staff,2022-03-12,2022-03-18,56,33
Florescent Light bulb,Lighting,Medium,Replacement,Block 15,Teacher,2019-01-27,2019-01-31,56,49
CPU,Computers,Low,Repair,Block 47,Teacher,2023-09-09,2023-09-19,66,53
Door Handle,Doors,High,Repair,Block 20,Admin Staff,2023-06-13,2023-06-17,16,13
Window Glass,Windows,High,Repair,Block 5,Admin Staff,2020-04-21,2020-04-26,44,31
Window Lock,Windows,Medium,Repair,Block 12,Teacher,2020-01-21,2020-01-26,37,33
Window Glass,Windows,Low,Replacement,Block 8,Student,2021-06-30,2021-07-16,50,40
Mouse,Computers,High,Replacement,Block 22,Admin Staff,2020-11-08,2020-11-13,53,33
Florescent Light bulb,Lighting,High,Repair,Block 2,Teacher,2022-12-07,2022-12-08,72,71
Florescent Light bulb,Lighting,High,Replacement,Block 34,Teacher,2023-04-11,2023-04-16,64,33
Fuse,Electrical,Medium,Replacement,Block 2,Student,2019-08-20,2019-08-30,92,68
Socket,Electrical,High,Repair,Block 35,Admin Staff,2023-10-02,2023-10-05,96,56
Hard drive,Computers,Low,Replacement,Block 38,Teacher,2019-02-15,2019-02-26,58,35
Florescent Light bulb,Lighting,Low,Repair,Block 5,Student,2023-02-26,2023-03-05,68,37
Door Cylinder,Doors,Low,Replacement,Block 9,Admin Staff,2023-10-28,2023-11-10,13,12
Socket,Electrical,Medium,Replacement,Block 32,Student,2020-07-16,2020-07-24,89,77
Valve,Plumbing,Medium,Replacement,Block 34,Other Servers,2021-06-07,2021-06-22,40,23
Bed Mattress,Furniture,Low,Repair,Block 29,Teacher,2021-03-26,2021-04-09,63,40
Door Handle,Doors,Medium,Repair,Block 13,Teacher,2022-04-08,2022-04-13,24,24
Florescent Light bulb,Lighting,High,Replacement,Block 45,Teacher,2021-01-05,2021-01-07,74,60
CPU,Computers,Medium,Replacement,Block 18,Teacher,2019-04-24,2019-05-05,57,51
Bed Mattress,Furniture,High,Replacement,Block 27,Teacher,2019-10-12,2019-10-24,67,54
Bed Chipwood,Furniture,High,Replacement,Block 40,Student,2020-06-21,2020-07-03,69,37
Bed Chipwood,Furniture,Low,Replacement,Block 27,Teacher,2019-12-02,2019-12-18,64,38
Window Lock,Windows,Low,Repair,Block 34,Student,2022-03-02,2022-03-12,44,39
Florescent Light bulb,Lighting,Low,Repair,Block 1,Teacher,2019-11-25,2019-11-30,56,36
Florescent Light bulb,Lighting,Medium,Repair,Block 37,Student,2021-04-14,2021-04-19,73,65
Door Cylinder,Doors,High,Replacement,Block 49,Student,2021-05-16,2021-05-27,28,24
Mouse,Computers,High,Replacement,Block 2,Teacher,2023-11-05,2023-11-07,53,29
Mouse,Computers,High,Replacement,Block 8,Admin Staff,2022-09-13,2022-09-17,59,35
Florescent Light bulb,Lighting,Low,Repair,Block 27,Student,2020-01-03,2020-01-09,59,50
Fuse,Electrical,High,Repair,Block 39,Student,2022-02-23,2022-02-27,98,61
Florescent Light bulb,Lighting,Low,Replacement,Block 8,Teacher,2020-12-29,2021-01-05,62,54
Shower Head,Plumbing,Medium,Replacement,Block 47,Other Servers,2020-03-01,2020-03-12,28,28
Florescent Light bulb,Lighting,Low,Repair,Block 3,Student,2023-03-23,2023-03-30,56,39
Pipe,Plumbing,Low,Replacement,Block 16,Other Servers,2019-11-03,2019-11-18,33,26
Door Handle,Doors,High,Replacement,Block 31,Teacher,2021-09-11,2021-09-16,15,11
Florescent Light bulb,Lighting,Low,Replacement,Block 6,Student,2023-06-09,2023-06-22,55,33
Socket,Electrical,Medium,Replacement,Block 18,Admin Staff,2020-03-25,2020-04-02,93,50
Door Cylinder,Doors,Low,Repair,Block 7,Student,2020-03-28,2020-04-09,23,22
CPU,Computers,Low,Repair,Block 46,Admin Staff,2019-09-23,2019-10-01,55,50
Shower Head,Plumbing,Low,Replacement,Block 44,Other Servers,2020-08-11,2020-08-25,42,30
Socket,Electrical,High,Replacement,Block 21,Admin Staff,2020-04-03,2020-04-07,82,45
Bed Chipwood,Furniture,Low,Repair,Block 33,Teacher,2020-12-27,2021-01-09,69,45
Toilet seat,Plumbing,High,Replacement,Block 2,Other Servers,2022-04-04,2022-04-15,34,19
Toilet seat,Plumbing,High,Repair,Block 10,Other Servers,2023-10-29,2023-11-06,30,26
Door Cylinder,Doors,High,Repair,Block 30,Teacher,2023-11-02,2023-11-06,29,28
Keyboard,Computers,Low,Repair,Block 50,Teacher,2023-08-08,2023-08-15,53,28
Locker Cylinder,Furniture,Low,Replacement,Block 47,Admin Staff,2020-03-19,2020-03-30,67,49
Shower Head,Plumbing,High,Repair,Block 14,Other Servers,2022-08-11,2022-08-18,29,19
Door Handle,Doors,Medium,Replacement,Block 24,Admin Staff,2019-06-14,2019-06-21,13,9
Florescent Light bulb,Lighting,High,Replacement,Block 33,Teacher,2023-12-13,2023-12-18,59,51
Locker Cylinder,Furniture,Medium,Repair,Block 48,Teacher,2023-09-13,2023-09-21,66,34
Bed Chipwood,Furniture,Medium,Replacement,Block 25,Admin Staff,2019-12-05,2019-12-17,65,55
Window Glass,Windows,Low,Replacement,Block 8,Teacher,2022-10-09,2022-10-20,51,42
Shower Head,Plumbing,Low,Replacement,Block 41,Other Servers,2019-03-25,2019-04-09,37,21
Hard drive,Computers,High,Repair,Block 16,Teacher,2023-12-21,2023-12-25,57,42
Valve,Plumbing,Low,Replacement,Block 19,Other Servers,2019-08-27,2019-09-12,42,38
Shower Head,Plumbing,Medium,Replacement,Block 10,Other Servers,2021-05-07,2021-05-17,39,26
Fuse,Electrical,Low,Replacement,Block 16,Admin Staff,2020-11-09,2020-11-19,100,86
Window Glass,Windows,High,Repair,Block 33,Admin Staff,2023-10-15,2023-10-20,46,26
Florescent Light bulb,Lighting,Low,Repair,Block 2,Teacher,2022-05-24,2022-05-29,61,49
Monitor,Computers,Low,Repair,Block 11,Teacher,2023-12-10,2023-12-18,68,44
Window Lock,Windows,Low,Repair,Block 40,Teacher,2023-03-21,2023-03-28,37,26
CPU,Computers,High,Replacement,Block 10,Admin Staff,2023-02-05,2023-02-14,65,54
Florescent Light bulb,Lighting,High,Replacement,Block 31,Teacher,2023-12-24,2023-12-28,59,56
Bed Frame,Furniture,High,Replacement,Block 3,Student,2023-06-28,2023-07-09,66,54
Florescent Light bulb,Lighting,High,Repair,Block 9,Student,2021-09-12,2021-09-14,66,58
Window Glass,Windows,Low,Replacement,Block 20,Teacher,2019-12-24,2020-01-06,53,53
Chair,Furniture,Medium,Repair,Block 17,Student,2021-12-14,2021-12-22,62,33
Door Cylinder,Doors,High,Repair,Block 14,Teacher,2020-06-09,2020-06-13,12,7
Mouse,Computers,Low,Repair,Block 50,Teacher,2023-02-20,2023-02-23,72,43
Monitor,Computers,Medium,Repair,Block 24,Admin Staff,2022-07-14,2022-07-19,58,39
Valve,Plumbing,Low,Repair,Block 14,Other Servers,2019-02-07,2019-02-21,27,15
Window Lock,Windows,Low,Repair,Block 40,Teacher,2021-11-25,2021-12-01,50,47
Door Handle,Doors,High,Replacement,Block 20,Teacher,2022-09-16,2022-09-23,13,13
Socket,Electrical,Low,Replacement,Block 25,Student,2020-11-05,2020-11-19,92,53
Florescent Light bulb,Lighting,Medium,Replacement,Block 17,Admin Staff,2020-07-25,2020-07-29,72,46
Locker Cylinder,Furniture,High,Repair,Block 16,Admin Staff,2022-02-07,2022-02-14,65,50
Window Lock,Windows,High,Replacement,Block 29,Student,2022-06-16,2022-06-27,42,34
Mouse,Computers,Medium,Repair,Block 41,Teacher,2020-05-31,2020-06-02,64,48
Bed Frame,Furniture,Medium,Replacement,Block 48,Student,2019-03-06,2019-03-17,60,42
CPU,Computers,Low,Replacement,Block 34,Teacher,2020-09-08,2020-09-19,54,38
Locker Cylinder,Furniture,Medium,Repair,Block 47,Teacher,2019-10-20,2019-10-28,66,36
Pipe,Plumbing,High,Replacement,Block 4,Other Servers,2021-05-05,2021-05-17,36,28
Socket,Electrical,Medium,Replacement,Block 30,Admin Staff,2023-06-02,2023-06-08,99,88
Fuse,Electrical,High,Repair,Block 3,Teacher,2020-10-23,2020-10-24,85,62
Fuse,Electrical,High,Replacement,Block 33,Teacher,2021-10-15,2021-10-19,82,64
Pipe,Plumbing,Low,Repair,Block 50,Other Servers,2020-05-16,2020-05-30,42,35
Bed Chipwood,Furniture,Medium,Repair,Block 44,Student,2021-04-18,2021-05-02,67,35
Door Cylinder,Doors,High,Repair,Block 43,Student,2021-11-24,2021-12-01,12,12
Bed Chipwood,Furniture,Low,Repair,Block 20,Student,2022-08-05,2022-08-21,65,39
Door Cylinder,Doors,Low,Repair,Block 36,Admin Staff,2019-02-15,2019-02-23,25,21
Toilet seat,Plumbing,High,Repair,Block 35,Other Servers,2019-01-28,2019-02-05,35,35
Valve,Plumbing,High,Repair,Block 3,Other Servers,2020-05-02,2020-05-11,30,18
Door Handle,Doors,High,Repair,Block 28,Student,2021-01-21,2021-01-27,25,25
Fuse,Electrical,Medium,Replacement,Block 1,Student,2022-02-04,2022-02-15,85,79
Door Cylinder,Doors,Low,Repair,Block 32,Student,2021-03-20,2021-03-31,17,10
Pipe,Plumbing,High,Replacement,Block 49,Other Servers,2022-03-08,2022-03-20,28,28
Chair,Furniture,Low,Replacement,Block 25,Teacher,2020-01-31,2020-02-11,59,55
Locker Handle,Furniture,Medium,Replacement,Block 37,Admin Staff,2021-07-27,2021-08-06,71,37
Florescent Light bulb,Lighting,High,Repair,Block 23,Admin Staff,2022-07-18,2022-07-19,61,35
Window Lock,Windows,High,Replacement,Block 34,Admin Staff,2022-08-19,2022-08-25,40,30
Window Lock,Windows,Medium,Replacement,Block 40,Student,2019-10-08,2019-10-17,46,35
Fuse,Electrical,Low,Replacement,Block 7,Teacher,2021-02-24,2021-03-07,97,65
Window Glass,Windows,Low,Repair,Block 28,Admin Staff,2020-08-05,2020-08-15,56,48
Fuse,Electrical,High,Replacement,Block 42,Teacher,2023-03-16,2023-03-19,83,65
Pipe,Plumbing,Low,Replacement,Block 15,Other Servers,2020-05-20,2020-06-03,24,13
Door Handle,Doors,High,Replacement,Block 23,Student,2019-10-07,2019-10-18,21,17
Door Handle,Doors,High,Replacement,Block 26,Admin Staff,2023-08-26,2023-09-02,15,13
Florescent Light bulb,Lighting,Low,Replacement,Block 18,Admin Staff,2023-07-16,2023-07-24,59,38
Window Glass,Windows,Medium,Repair,Block 8,Admin Staff,2022-11-15,2022-11-22,53,43
Keyboard,Computers,High,Repair,Block 1,Admin Staff,2020-06-09,2020-06-10,59,52
Chair,Furniture,Medium,Replacement,Block 35,Admin Staff,2023-03-15,2023-03-22,55,40
Shower Head,Plumbing,High,Replacement,Block 8,Other Servers,2022-04-27,2022-05-07,34,29
Toilet seat,Plumbing,Medium,Replacement,Block 11,Other Servers,2023-07-01,2023-07-13,26,20
Florescent Light bulb,Lighting,Low,Repair,Block 32,Student,2019-09-20,2019-09-27,62,36
Bed Frame,Furniture,High,Repair,Block 16,Admin Staff,2020-10-29,2020-11-03,71,40
Window Lock,Windows,Low,Replacement,Block 11,Teacher,2020-03-05,2020-03-14,50,46
Door Handle,Doors,Medium,Repair,Block 4,Student,2019-11-09,2019-11-18,12,12
Florescent Light bulb,Lighting,High,Repair,Block 24,Teacher,2021-03-03,2021-03-04,61,55
Window Glass,Windows,Low,Repair,Block 14,Teacher,2022-03-25,2022-04-03,50,40
Pipe,Plumbing,Low,Replacement,Block 24,Other Servers,2022-06-17,2022-07-02,41,37
Fuse,Electrical,Medium,Repair,Block 14,Admin Staff,2021-03-07,2021-03-10,88,60
Socket,Electrical,High,Replacement,Block 21,Student,2022-04-16,2022-04-25,91,75
Door Handle,Doors,High,Replacement,Block 33,Admin Staff,2019-01-20,2019-01-27,28,16
Locker Handle,Furniture,Medium,Replacement,Block 9,Student,2020-03-25,2020-04-04,59,39
Window Glass,Windows,High,Replacement,Block 21,Admin Staff,2020-06-23,2020-06-30,53,33
Door Handle,Doors,Medium,Repair,Block 25,Teacher,2023-08-02,2023-08-07,29,18
Socket,Electrical,Low,Repair,Block 35,Teacher,2023-11-21,2023-11-27,100,58
Fuse,Electrical,Medium,Repair,Block 13,Teacher,2019-08-12,2019-08-15,99,53
Window Glass,Windows,High,Replacement,Block 43,Admin Staff,2020-12-18,2020-12-26,38,38
